Agency Name,Agent Name,Birth Date,Age,First,Last,Combined Names, COST 18-19 , PC 18-19 , COST 19-20 , PC 19-20 , COST 20-21 , PC 20-21 , COST 21-22 , PC 21-22 , COST 22-23 , PC 22-23 , COST 23-24 , PC 23-24 , Dollars Captured Above/ Below Value ,Value Capture %, Total Cost , Total PC 
CAA Hockey,Pat Brisson,06/06/1997,27,Caleb,Jones,Caleb Jones, $-   , $-   , $-   , $-   ," $800,000 "," $769,861 "," $900,000 "," $1,916,015 "," $1,350,000 "," $2,010,525 "," $775,000 "," $960,860 "," $(1,832,261)",68%," $3,825,000 "," $5,657,261 "
CAA Hockey,Pat Brisson,10/03/1994,30,Seth,Jones,Seth Jones," $5,400,000 "," $7,470,590 "," $5,400,000 "," $6,208,290 "," $5,400,000 "," $2,831,397 "," $5,400,000 "," $5,669,464 "," $10,000,000 "," $4,587,703 "," $12,500,000 "," $4,049,805 "," $13,282,751 ",143%," $44,100,000 "," $30,817,249 "
CAA Hockey,Pat Brisson,11/19/1988,36,Patrick,Kane,Patrick Kane," $12,000,000 "," $10,960,240 "," $9,800,000 "," $9,391,988 "," $7,000,000 "," $5,361,222 "," $6,900,000 "," $7,446,011 "," $6,900,000 "," $5,690,684 "," $2,750,000 "," $5,042,004 "," $1,457,851 ",103%," $45,350,000 "," $43,892,149 "
CAA Hockey,Pat Brisson,08/24/1987,37,Anze,Kopitar,Anze Kopitar," $12,000,000 "," $5,887,000 "," $11,000,000 "," $6,895,731 "," $8,000,000 "," $4,938,673 "," $8,000,000 "," $6,314,080 "," $7,000,000 "," $11,288,127 "," $7,000,000 "," $9,419,160 "," $8,257,229 ",118%," $53,000,000 "," $44,742,771 "
CAA Hockey,Pat Brisson,10/12/1999,25,Philipp,Kurashev,Philipp Kurashev, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $1,176,381 "," $2,250,000 "," $3,371,513 "," $(1,547,894)",66%," $3,000,000 "," $4,547,894 "
CAA Hockey,Pat Brisson,07/30/1996,28,Dylan,Larkin,Dylan Larkin," $6,750,000 "," $6,434,886 "," $7,000,000 "," $4,155,280 "," $4,750,000 "," $1,054,767 "," $6,750,000 "," $6,289,526 "," $5,250,000 "," $6,209,897 "," $10,000,000 "," $7,694,415 "," $8,661,229 ",127%," $40,500,000 "," $31,838,771 "
CAA Hockey,Pat Brisson,04/28/1997,27,Jeremy,Lauzon,Jeremy Lauzon, $-   , $-   , $-   , $-   ," $800,000 "," $1,244,260 "," $900,000 "," $(262,070)"," $2,000,000 "," $354,933 "," $2,000,000 "," $906,503 "," $3,456,374 ",254%," $5,700,000 "," $2,243,626 "
CAA Hockey,Pat Brisson,09/01/1995,29,Nathan,MacKinnon,Nathan MacKinnon," $6,750,000 "," $12,779,955 "," $6,750,000 "," $13,663,555 "," $6,150,000 "," $9,345,852 "," $6,850,000 "," $14,004,696 "," $6,850,000 "," $14,394,007 "," $16,500,000 "," $17,091,197 "," $(31,429,262)",61%," $49,850,000 "," $81,279,262 "
CAA Hockey,Pat Brisson,08/18/1998,26,Strauss,Mann,Strauss Mann, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $172,500 "," $15,372 ", $-   , $-   ," $157,128 ",1122%," $172,500 "," $15,372 "
CAA Hockey,Pat Brisson,12/27/1990,34,Jonathan,Marchessault,Jonathan Marchessault," $7,000,000 "," $5,716,090 "," $6,000,000 "," $5,988,080 "," $5,000,000 "," $6,653,852 "," $5,000,000 "," $6,175,203 "," $3,500,000 "," $9,721,479 "," $3,500,000 "," $7,841,628 "," $(12,096,332)",71%," $30,000,000 "," $42,096,332 "
CAA Hockey,Pat Brisson,08/05/1995,29,Ian,McCoshen,Ian McCoshen, $-   , $-   ," $250,000 "," $36,360 "," $125,000 "," $30,800 ", $-   , $-   , $-   , $-   , $-   , $-   ," $307,840 ",558%," $375,000 "," $67,160 "
CAA Hockey,Pat Brisson,03/27/2000,24,Jared,McIsaac,Jared McIsaac, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $70,000 "," $52,628 "," $17,372 ",133%," $70,000 "," $52,628 "
CAA Hockey,Pat Brisson,07/31/1995,29,Marc,Michaelis,Marc Michaelis, $-   , $-   , $-   , $-   ," $700,000 "," $(196,001)", $-   , $-   , $-   , $-   , $-   , $-   ," $896,001 ",-357%," $700,000 "," $(196,001)"
CAA Hockey,Pat Brisson,03/10/1995,29,Tyler,Motte,Tyler Motte, $-   , $-   ," $975,000 "," $1,488,552 "," $1,000,000 "," $859,392 "," $1,450,000 "," $1,703,307 "," $1,350,000 "," $2,481,639 "," $800,000 "," $690,981 "," $(1,648,871)",77%," $5,575,000 "," $7,223,871 "
CAA Hockey,Pat Brisson,04/16/1988,36,Kyle,Okposo,Kyle Okposo," $6,000,000 "," $2,165,361 "," $6,000,000 "," $1,659,402 "," $6,000,000 "," $1,397,790 "," $4,000,000 "," $3,171,956 "," $4,000,000 "," $1,475,742 "," $2,500,000 "," $2,047,608 "," $16,582,141 ",239%," $28,500,000 "," $11,917,859 "
CAA Hockey,Pat Brisson,11/12/1998,26,Elias,Pettersson,Elias Pettersson, $-   , $-   , $-   , $-   , $-   , $-   ," $4,000,000 "," $7,946,848 "," $7,800,000 "," $11,760,630 "," $10,250,000 "," $11,975,128 "," $(9,632,606)",70%," $22,050,000 "," $31,682,606 "
CAA Hockey,Pat Brisson,04/04/1999,25,Scott,Reedy,Scott Reedy, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $175,000 "," $79,280 "," $95,720 ",221%," $175,000 "," $79,280 "
CAA Hockey,Pat Brisson,07/13/1993,31,Mike,Reilly,Mike Reilly," $775,000 "," $2,042,230 "," $1,500,000 "," $1,573,354 "," $1,500,000 "," $3,546,945 ", $-   , $-   , $-   , $-   ," $1,000,000 "," $3,340,595 "," $(5,728,124)",45%," $4,775,000 "," $10,503,124 "
CAA Hockey,Pat Brisson,07/22/1999,25,Jason,Robertson,Jason Robertson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,500,000 "," $15,763,298 "," $8,000,000 "," $10,472,092 "," $(13,735,390)",48%," $12,500,000 "," $26,235,390 "
CAA Hockey,Pat Brisson,07/06/2000,24,Olivier,Rodrigue,Olivier Rodrigue, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $80,000 "," $247,503 "," $(167,503)",32%," $80,000 "," $247,503 "
CAA Hockey,Pat Brisson,02/05/1997,28,Nicolas,Roy,Nicolas Roy, $-   , $-   , $-   , $-   ," $750,000 "," $3,095,092 "," $750,000 "," $4,132,575 "," $3,500,000 "," $4,776,031 "," $3,500,000 "," $3,602,012 "," $(7,105,710)",54%," $8,500,000 "," $15,605,710 "
CAA Hockey,Pat Brisson,03/14/2000,24,Mattias,Samuelsson,Mattias Samuelsson, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $4,285,716 "," $1,666,881 "," $2,618,835 ",257%," $4,285,716 "," $1,666,881 "
CAA Hockey,Pat Brisson,06/03/1993,31,Nick,Seeler,Nick Seeler," $675,000 "," $646,256 "," $750,000 "," $(146,085)"," $750,000 ", $-   ," $689,634 "," $573,127 "," $750,000 "," $2,233,630 "," $739,634 "," $2,754,959 "," $(1,707,619)",72%," $4,354,268 "," $6,061,887 "
CAA Hockey,Pat Brisson,04/01/1991,33,Reilly,Smith,Reilly Smith," $6,000,000 "," $7,509,650 "," $5,000,000 "," $8,672,049 "," $3,500,000 "," $5,350,093 "," $4,500,000 "," $4,626,766 "," $5,750,000 "," $8,988,477 "," $5,250,000 "," $3,964,552 "," $(9,111,587)",77%," $30,000,000 "," $39,111,587 "
CAA Hockey,Pat Brisson,03/17/1997,27,Daniel,Sprong,Daniel Sprong," $750,000 "," $2,275,419 "," $750,000 "," $500,761 "," $700,000 "," $2,718,740 "," $750,000 "," $2,395,892 "," $718,902 "," $5,625,203 "," $2,000,000 "," $3,847,213 "," $(11,694,326)",33%," $5,668,902 "," $17,363,228 "
CAA Hockey,Pat Brisson,12/13/1991,33,Vladimir,Tarasenko,Vladimir Tarasenko," $7,000,000 "," $9,603,592 "," $9,500,000 "," $894,154 "," $5,500,000 "," $1,141,598 "," $9,500,000 "," $10,043,750 "," $5,500,000 "," $5,654,904 "," $5,000,000 "," $8,292,346 "," $6,369,656 ",118%," $42,000,000 "," $35,630,344 "
CAA Hockey,Pat Brisson,09/20/1990,34,John,Tavares,John Tavares," $15,900,000 "," $11,966,273 "," $15,900,000 "," $6,928,492 "," $12,000,000 "," $6,277,790 "," $9,350,000 "," $8,528,392 "," $7,950,000 "," $9,647,103 "," $7,950,000 "," $7,865,678 "," $17,836,272 ",135%," $69,050,000 "," $51,213,728 "
CAA Hockey,Pat Brisson,04/24/1992,32,Tyler,Toffoli,Tyler Toffoli," $4,600,000 "," $2,172,530 "," $4,800,000 "," $4,940,003 "," $3,250,000 "," $6,692,400 "," $5,125,000 "," $4,408,820 "," $5,125,000 "," $7,900,288 "," $3,500,000 "," $6,859,356 "," $(6,573,397)",80%," $26,400,000 "," $32,973,397 "
CAA Hockey,Pat Brisson,06/13/2000,24,Oliver,Wahlstrom,Oliver Wahlstrom, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $874,125 "," $319,891 "," $554,234 ",273%," $874,125 "," $319,891 "
CAA Hockey,Pat Brisson,09/22/1994,30,Alexander,Wennberg,Alex Wennberg," $4,500,000 "," $2,288,618 "," $5,350,000 "," $2,701,318 "," $2,250,000 "," $4,140,503 "," $3,500,000 "," $2,538,474 "," $5,000,000 "," $3,051,415 "," $5,000,000 "," $3,901,530 "," $6,978,142 ",137%," $25,600,000 "," $18,621,858 "
CAA Hockey,Pat Brisson,03/17/1995,29,Christian,Wolanin,Christian Wolanin, $-   , $-   ," $100,000 "," $177,136 "," $1,000,000 "," $32,638 "," $375,000 "," $666,359 "," $350,000 "," $1,560,476 "," $500,000 "," $264,856 "," $(376,465)",86%," $2,325,000 "," $2,701,465 "
CAA Hockey,Pat Brisson,01/05/2001,24,Cameron,York,Cameron York, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,600,000 "," $3,806,223 "," $(2,206,223)",42%," $1,600,000 "," $3,806,223 "
CAA Hockey,Pat Brisson,03/20/2001,23,Trevor,Zegras,Trevor Zegras, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $5,750,000 "," $761,383 "," $4,988,617 ",755%," $5,750,000 "," $761,383 "
CAA Hockey,Pat Brisson,01/12/1988,37,Claude,Giroux,Claude Giroux," $9,000,000 "," $8,960,885 "," $8,000,000 "," $7,767,894 "," $7,200,000 "," $5,020,659 "," $5,000,000 "," $8,017,254 "," $7,000,000 "," $8,959,090 "," $7,000,000 "," $6,367,717 "," $(1,893,499)",96%," $43,200,000 "," $45,093,499 "
CAA Hockey,Pat Brisson,03/21/1988,36,Erik,Johnson,Erik Johnson," $6,000,000 "," $5,036,321 "," $6,000,000 "," $3,954,303 "," $6,000,000 "," $338,593 "," $6,000,000 "," $7,204,879 "," $6,000,000 "," $2,853,110 "," $3,250,000 "," $1,129,631 "," $12,733,163 ",162%," $33,250,000 "," $20,516,837 "
Newport Sports Management Inc.,Patrick Morris,10/02/1989,35,Joshua,Bailey,Josh Bailey," $7,000,000 "," $7,587,493 "," $6,000,000 "," $6,494,355 "," $5,000,000 "," $6,321,546 "," $5,000,000 "," $4,524,119 "," $3,500,000 "," $3,175,935 ", $-   , $-   ," $(1,603,448)",94%," $26,500,000 "," $28,103,448 "
Newport Sports Management Inc.,Patrick Morris,06/17/1994,30,Alexander,Barabanov,Alexander Barabanov, $-   , $-   , $-   , $-   , $-   , $-   ," $1,000,000 "," $4,327,994 "," $2,500,000 "," $3,721,606 "," $2,500,000 "," $33,484 "," $(2,083,084)",74%," $6,000,000 "," $8,083,084 "
Newport Sports Management Inc.,Patrick Morris,05/14/1996,28,Louis,Belpedio,Louie Belpedio," $187,805 "," $192,357 "," $217,683 "," $98,640 "," $301,829 "," $34,392 "," $451,220 "," $325,140 "," $497,561 "," $189,960 ", $-   , $-   ," $815,609 ",197%," $1,656,098 "," $840,489 "
Newport Sports Management Inc.,Patrick Morris,04/13/1994,30,Connor,Carrick C,Connor Carrick, $-   , $-   ," $1,500,000 "," $635,653 "," $1,500,000 "," $289,340 "," $350,000 "," $248,630 "," $450,000 "," $707,379 "," $425,000 "," $308,070 "," $2,035,928 ",193%," $4,225,000 "," $2,189,072 "
Newport Sports Management Inc.,Patrick Morris,07/15/1997,27,Anthony,Cirelli,Anthony Cirelli, $-   , $-   , $-   , $-   ," $2,400,000 "," $4,604,740 "," $4,800,000 "," $4,990,638 "," $7,200,000 "," $4,427,837 "," $8,125,000 "," $4,528,606 "," $3,973,179 ",121%," $22,525,000 "," $18,551,821 "
Newport Sports Management Inc.,Patrick Morris,02/27/1991,33,Casey,Cizikas,Casey Cizikas," $3,500,000 "," $4,761,499 "," $3,750,000 "," $2,519,118 "," $4,000,000 "," $1,597,517 "," $2,500,000 "," $1,332,837 "," $2,500,000 "," $909,843 "," $2,500,000 "," $1,966,028 "," $5,663,158 ",143%," $18,750,000 "," $13,086,842 "
Newport Sports Management Inc.,Patrick Morris,11/18/1987,37,Cal,Clutterbuck,Cal Clutterbuck," $4,000,000 "," $1,244,894 "," $3,500,000 "," $1,957,908 "," $2,500,000 "," $1,832,124 "," $2,500,000 "," $1,048,006 "," $1,750,000 "," $981,442 "," $1,750,000 "," $893,787 "," $8,041,839 ",201%," $16,000,000 "," $7,958,161 "
Newport Sports Management Inc.,Patrick Morris,06/24/1990,34,Zotto,Del,Zotto Del," $3,000,000 "," $1,339,873 "," $750,000 "," $1,909,479 "," $400,000 ", $-   , $-   , $-   ," $450,000 "," $227,160 ", $-   , $-   ," $1,123,488 ",132%," $4,600,000 "," $3,476,512 "
Newport Sports Management Inc.,Patrick Morris,06/09/1988,36,Jason,Demers,Jason Demers," $4,400,000 "," $2,119,764 "," $3,600,000 "," $2,789,722 "," $3,600,000 "," $42,230 ", $-   , $-   ," $375,000 "," $80,275 ", $-   , $-   ," $6,943,009 ",238%," $11,975,000 "," $5,031,991 "
Newport Sports Management Inc.,Patrick Morris,07/04/1995,29,Jason,Dickinson,Jason Dickinson," $875,000 "," $3,388,559 "," $1,400,000 "," $2,955,100 "," $1,600,000 "," $1,461,381 "," $2,000,000 "," $329,240 "," $2,700,000 "," $808,537 "," $3,250,000 "," $3,149,828 "," $(267,645)",98%," $11,825,000 "," $12,092,645 "
Newport Sports Management Inc.,Patrick Morris,10/29/1996,28,Vince,Dunn,Vince Dunn, $-   , $-   , $-   , $-   ," $1,875,000 "," $2,298,002 "," $4,000,000 "," $2,231,744 "," $4,000,000 "," $10,362,486 "," $9,000,000 "," $5,004,380 "," $(1,021,612)",95%," $18,875,000 "," $19,896,612 "
Newport Sports Management Inc.,Patrick Morris,08/10/1991,33,Marcus,Foligno,Marcus Foligno," $3,000,000 "," $1,079,456 "," $3,500,000 "," $2,752,709 "," $3,000,000 "," $3,682,163 "," $2,100,000 "," $4,923,350 "," $3,100,000 "," $(495,866)"," $4,100,000 "," $1,937,038 "," $4,921,150 ",135%," $18,800,000 "," $13,878,850 "
Newport Sports Management Inc.,Patrick Morris,10/31/1987,37,Nick,Foligno,Nick Foligno," $5,500,000 "," $5,311,221 "," $5,500,000 "," $2,920,876 "," $5,500,000 "," $2,184,053 "," $3,800,000 "," $(175,101)"," $3,800,000 "," $3,715,433 "," $4,000,000 "," $1,930,956 "," $12,212,562 ",177%," $28,100,000 "," $15,887,438 "
Newport Sports Management Inc.,Patrick Morris,01/07/1992,33,Erik,Gudbranson,Erik Gudbranson," $4,500,000 "," $200,532 "," $4,500,000 "," $(339,287)"," $3,000,000 "," $(242,947)"," $1,950,000 "," $3,295,855 "," $5,000,000 "," $956,969 "," $4,000,000 "," $2,404,043 "," $16,674,835 ",366%," $22,950,000 "," $6,275,165 "
Newport Sports Management Inc.,Patrick Morris,06/09/2000,24,Barrett,Hayton,Barrett Hayton, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,420,000 "," $4,129,993 "," $2,130,000 "," $39,838 "," $(619,831)",85%," $3,550,000 "," $4,169,831 "
Newport Sports Management Inc.,Patrick Morris,03/02/1996,28,Hayden,Hodgson,Hayden Hodgson, $-   , $-   , $-   , $-   , $-   , $-   ," $125,000 "," $287,699 "," $225,000 "," $33,101 "," $800,000 "," $83,280 "," $745,920 ",285%," $1,150,000 "," $404,080 "
Newport Sports Management Inc.,Patrick Morris,04/05/1995,29,Bo,Horvat,Bo Horvat," $7,000,000 "," $7,207,590 "," $5,775,000 "," $8,439,453 "," $3,500,000 "," $4,481,071 "," $5,775,000 "," $6,732,860 "," $4,450,000 "," $10,441,509 "," $8,500,000 "," $7,872,484 "," $(10,174,967)",77%," $35,000,000 "," $45,174,967 "
Newport Sports Management Inc.,Patrick Morris,03/11/1997,27,Travis,Konecny,Travis Konecny, $-   , $-   ," $4,000,000 "," $7,179,005 "," $5,000,000 "," $2,655,078 "," $5,250,000 "," $2,852,253 "," $5,750,000 "," $5,150,660 "," $6,000,000 "," $6,574,700 "," $1,588,304 ",107%," $26,000,000 "," $24,411,696 "
Newport Sports Management Inc.,Patrick Morris,05/30/1994,30,Scott,Laughton,Scott Laughton," $1,050,000 "," $1,306,021 "," $2,300,000 "," $4,341,606 "," $2,300,000 "," $2,118,450 "," $2,250,000 "," $2,075,959 "," $2,750,000 "," $3,288,233 "," $3,875,000 "," $2,351,935 "," $(957,204)",94%," $14,525,000 "," $15,482,204 "
Newport Sports Management Inc.,Patrick Morris,01/31/1990,35,Jacob,Markstrom,Jacob Markstrom," $3,600,000 "," $5,532,636 "," $4,000,000 "," $10,352,823 "," $4,000,000 "," $2,687,370 "," $4,000,000 "," $13,970,657 "," $8,000,000 "," $2,242,382 "," $8,000,000 "," $3,072,256 "," $(6,258,124)",83%," $31,600,000 "," $37,858,124 "
Newport Sports Management Inc.,Patrick Morris,12/31/1992,32,Gerald,Mayhew,Gerry Mayhew, $-   , $-   ," $150,000 "," $1,282,872 "," $200,000 "," $353,373 "," $450,000 "," $1,692,099 "," $450,000 "," $418,400 "," $450,000 "," $352,013 "," $(2,398,757)",41%," $1,700,000 "," $4,098,757 "
Newport Sports Management Inc.,Patrick Morris,01/06/2000,25,Jack,McBain,Jack McBain, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $1,599,999 "," $2,026,893 "," $(426,894)",79%," $1,599,999 "," $2,026,893 "
Newport Sports Management Inc.,Patrick Morris,07/09/1997,27,Michael,McNiven,Michael McNiven, $-   , $-   , $-   , $-   ," $75,000 "," $48,468 "," $100,000 "," $(272,353)", $-   , $-   , $-   , $-   ," $398,885 ",-78%," $175,000 "," $(223,885)"
Newport Sports Management Inc.,Patrick Morris,10/12/1994,30,Sean,Monahan,Sean Monahan," $6,750,000 "," $10,378,004 "," $6,750,000 "," $5,648,590 "," $6,000,000 "," $2,842,009 "," $6,125,000 "," $1,856,583 "," $6,000,000 "," $1,083,039 "," $1,985,000 "," $7,766,657 "," $4,035,118 ",114%," $33,610,000 "," $29,574,882 "
Newport Sports Management Inc.,Patrick Morris,02/07/1991,33,Ryan,O'Reilly,Ryan O'Reilly," $8,500,000 "," $14,127,432 "," $6,000,000 "," $9,302,452 "," $6,000,000 "," $8,367,299 "," $6,000,000 "," $11,156,756 "," $6,000,000 "," $3,314,931 "," $5,000,000 "," $7,707,273 "," $(16,476,143)",69%," $37,500,000 "," $53,976,143 "
Newport Sports Management Inc.,Patrick Morris,05/16/1985,39,Corey,Perry,Corey Perry," $9,000,000 "," $195,055 "," $1,500,000 "," $1,821,206 "," $750,000 "," $2,549,989 "," $750,000 "," $5,842,774 "," $1,250,000 "," $957,126 "," $775,000 "," $1,858,392 "," $800,458 ",106%," $14,025,000 "," $13,224,542 "
Newport Sports Management Inc.,Patrick Morris,07/01/1993,31,Brett,Ritchie,Brett Ritchie," $1,800,000 "," $(771,154)"," $1,000,000 "," $194,630 "," $125,000 "," $152,821 "," $900,000 "," $(40,458)"," $750,000 "," $1,241,769 ", $-   , $-   ," $3,797,392 ",588%," $4,575,000 "," $777,608 "
Newport Sports Management Inc.,Patrick Morris,12/05/1995,29,Nicholas,Ritchie,Nick Ritchie," $1,200,000 "," $2,159,297 "," $1,400,000 "," $(172,286)"," $2,000,000 "," $2,720,434 "," $1,700,000 "," $1,369,215 "," $3,300,000 "," $1,437,558 ", $-   , $-   ," $2,085,782 ",128%," $9,600,000 "," $7,514,218 "
Newport Sports Management Inc.,Patrick Morris,03/17/1987,37,Bobby,Ryan,Bobby Ryan," $7,500,000 "," $2,480,865 "," $7,500,000 "," $577,531 "," $1,000,000 "," $555,754 ", $-   , $-   , $-   , $-   , $-   , $-   ," $12,385,850 ",443%," $16,000,000 "," $3,614,150 "
Newport Sports Management Inc.,Patrick Morris,07/30/1992,32,Scott,Sabourin,Scott Sabourin, $-   , $-   ," $121,951 "," $(352,122)"," $266,463 "," $(93,820)"," $220,122 "," $(49,228)"," $388,720 "," $216,920 "," $413,720 "," $(26,792)"," $1,716,018 ",-463%," $1,410,976 "," $(305,042)"
Newport Sports Management Inc.,Patrick Morris,06/16/1999,25,Dmitri,Samorukov,Dmitri Samorukov, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $775,000 "," $161,400 "," $250,000 "," $147,280 "," $716,320 ",332%," $1,025,000 "," $308,680 "
Newport Sports Management Inc.,Patrick Morris,03/07/1997,27,Dylan,Strome,Dylan Strome, $-   , $-   , $-   , $-   ," $2,400,000 "," $1,257,643 "," $3,600,000 "," $5,345,929 "," $3,500,000 "," $6,709,543 "," $6,500,000 "," $7,416,383 "," $(4,729,498)",77%," $16,000,000 "," $20,729,498 "
Newport Sports Management Inc.,Patrick Morris,07/11/1993,31,Ryan,Strome,Ryan Strome," $3,000,000 "," $2,774,659 "," $3,200,000 "," $5,768,697 "," $4,000,000 "," $4,265,883 "," $5,000,000 "," $7,642,702 "," $5,000,000 "," $931,861 "," $5,000,000 "," $1,404,156 "," $2,412,042 ",111%," $25,200,000 "," $22,787,958 "
Newport Sports Management Inc.,Patrick Morris,12/21/1993,31,Malcolm,Subban,Malcolm Subban," $254,878 "," $788,936 "," $850,000 "," $483,845 "," $750,000 "," $1,457,753 "," $950,000 "," $(387,905)"," $306,707 "," $350,870 "," $453,963 "," $214,698 "," $657,352 ",123%," $3,565,549 "," $2,908,197 "
Newport Sports Management Inc.,Patrick Morris,01/03/1998,27,Dylan,Wells,Dylan Wells, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $80,000 "," $229,638 ", $-   , $-   ," $(149,638)",35%," $80,000 "," $229,638 "
Newport Sports Management Inc.,Patrick Morris,05/26/1998,26,Logan,Stanley,Logan Stanley, $-   , $-   , $-   , $-   , $-   , $-   ," $800,000 "," $1,174,681 "," $1,000,000 ", $842 ," $1,000,000 "," $214,736 "," $1,409,741 ",201%," $2,800,000 "," $1,390,259 "
Lakonic Sports,Patrick Sullivan,04/22/1995,29,Madison,Bowey,Madison Bowey," $1,000,000 "," $878,217 "," $1,000,000 "," $982,251 "," $200,000 "," $170,575 "," $750,000 "," $187,839 "," $350,000 "," $103,280 ", $-   , $-   ," $977,838 ",142%," $3,300,000 "," $2,322,162 "
Lakonic Sports,Patrick Sullivan,01/09/1998,27,Sean,Day,Sean Day, $-   , $-   , $-   , $-   ," $70,000 "," $107,120 "," $100,000 "," $321,801 "," $200,000 "," $95,240 "," $250,000 "," $215,756 "," $(119,917)",84%," $620,000 "," $739,917 "
Lakonic Sports,Patrick Sullivan,12/30/1997,27,Zachary,Sawchenko,Zachary Sawchenko, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $85,000 "," $18,756 "," $200,000 "," $60,580 "," $205,664 ",359%," $285,000 "," $79,336 "
AC Hockey,Patrik Aronsson,08/24/1999,25,Olle,Lycksell,Olle Lycksell, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $326,220 "," $726,204 "," $(399,984)",45%," $326,220 "," $726,204 "
AC Hockey,Patrik Aronsson,12/30/1995,29,Lawrence,Pilut,Lawrence Pilut, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $300,000 "," $685,975 ", $-   , $-   ," $(385,975)",44%," $300,000 "," $685,975 "
AC Hockey,Patrik Aronsson,01/12/1997,28,Felix,Sandstrom,Felix Sandstrom, $-   , $-   , $-   , $-   , $-   , $-   ," $139,634 "," $975,052 "," $350,915 "," $(370,652)"," $800,000 "," $(436,244)"," $1,122,393 ",767%," $1,290,549 "," $168,156 "
Quartexx Management,Paul Capizzano,04/27/1998,26,Drake,Batherson,Drake Batherson, $-   , $-   , $-   , $-   , $-   , $-   ," $2,500,000 "," $4,850,157 "," $3,500,000 "," $4,850,128 "," $5,400,000 "," $6,139,004 "," $(4,439,289)",72%," $11,400,000 "," $15,839,289 "
Quartexx Management,Paul Capizzano,06/07/1990,34,TJ,Brodie,T.J. Brodie," $4,838,000 "," $7,343,837 "," $4,838,000 "," $3,596,840 "," $2,500,000 "," $5,320,602 "," $5,000,000 "," $5,409,549 "," $5,000,000 "," $3,744,879 "," $7,500,000 "," $4,101,861 "," $158,432 ",101%," $29,676,000 "," $29,517,568 "
Quartexx Management,Paul Capizzano,04/16/1998,26,Connor,Bunnaman,Connor Bunnaman, $-   , $-   , $-   , $-   , $-   , $-   ," $125,000 "," $(230,428)"," $750,000 "," $336,780 ", $-   , $-   ," $768,648 ",823%," $875,000 "," $106,352 "
Quartexx Management,Paul Capizzano,09/17/1995,29,Michael,Bunting,Michael Bunting," $707,134 "," $497,973 "," $725,000 "," $365,800 "," $750,000 "," $1,964,192 "," $750,000 "," $7,520,676 "," $1,150,000 "," $5,435,389 "," $4,500,000 "," $4,455,793 "," $(11,657,689)",42%," $8,582,134 "," $20,239,823 "
Quartexx Management,Paul Capizzano,08/13/1997,27,Kyle,Capobianco,Kyle Capobianco, $-   , $-   , $-   , $-   ," $700,000 "," $(1,410)"," $850,000 "," $721,953 "," $325,000 "," $386,311 "," $775,000 "," $514,607 "," $1,028,539 ",163%," $2,650,000 "," $1,621,461 "
Quartexx Management,Paul Capizzano,10/26/1992,32,Joseph,Cramarossa,Joseph Cramarossa," $200,000 "," $(221,433)"," $700,000 "," $34,880 "," $160,000 "," $(260,913)"," $170,000 "," $171,268 "," $182,500 "," $224,579 ", $-   , $-   ," $1,464,119 ",-2736%," $1,412,500 "," $(51,619)"
Quartexx Management,Paul Capizzano,06/20/1996,28,Colle,Dal,Colle Dal, $-   , $-   ," $700,000 "," $833,193 "," $700,000 "," $437,877 "," $750,000 "," $323,333 ", $-   , $-   , $-   , $-   ," $555,597 ",135%," $2,150,000 "," $1,594,403 "
Quartexx Management,Paul Capizzano,10/09/1993,31,Phillip,DiGiuseppe,Giuseppe Di," $750,000 "," $470,780 "," $175,000 "," $602,470 "," $250,000 "," $718,823 "," $450,000 "," $308,320 "," $475,000 "," $1,378,692 "," $500,000 "," $679,232 "," $(1,558,317)",63%," $2,600,000 "," $4,158,317 "
Quartexx Management,Paul Capizzano,07/14/1999,25,MacKenzie,Entwistle,MacKenzie Entwistle, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ," $750,000 "," $437,849 "," $850,000 "," $(1,191,843)"," $2,353,994 ",-212%," $1,600,000 "," $(753,994)"
